id,name,ministry,category,gender,min_age,max_age,state,max_income,business_stage,sector,area,benefit_type,benefits,documents,application_process,official_url
1,Prime Minister's Employment Generation Programme (PMEGP),Ministry of Micro Small & Medium Enterprises,Self-Employment;MSME,All,18,65,All India,1000000,New enterprise,Manufacturing;Business;Service,Rural;Urban,Margin money subsidy;Bank finance,Margin money subsidy and bank-linked finance for new micro enterprises,Official documents as prescribed in PMEGP guidelines,Apply online through PMEGP portal;bank processing,https://www.pmegp.msme.gov.in/
2,Credit Guarantee Scheme for Micro and Small Enterprises (CGTMSE),Ministry of Micro Small & Medium Enterprises,MSME;Credit,All,18,65,All India,2000000,Existing;New,Manufacturing;Service;Trading,All India,Credit guarantee,Guarantee cover for eligible collateral-free credit facilities,Loan and enterprise documents as required by MLI,Approach a CGTMSE member lending institution,https://www.cgtmse.in/
3,A Scheme for Promotion of Innovation Rural Industry and Entrepreneurship (ASPIRE),Ministry of Micro Small & Medium Enterprises,Entrepreneurship;Rural Industry,All,18,65,All India,1000000,New;Existing,Rural industry;Agriculture-based industry;Manufacturing,Rural,Incubation;Skill development;Enterprise support,Support through Livelihood Business Incubators for skill development,Documents prescribed by implementing agency,Eligible applicants apply through ASPIRE/LBI process,https://aspire.msme.gov.in/
4,Scheme of Fund for Regeneration of Traditional Industries (SFURTI),Ministry of Micro Small & Medium Enterprises,Traditional Industry;Artisan;Cluster,All,18,65,All India,1000000,Existing;Cluster,Traditional industries;Handicrafts;Village industries,Rural,Cluster development;Infrastructure;Skill;Marketing,Common facilities capacity building product development and market promotion,Documents prescribed under SFURTI guidelines,Cluster proposals through eligible implementing agencies,https://sfurti.msme.gov.in/
5,Micro and Small Enterprises Cluster Development Programme (MSE-CDP),Ministry of Micro Small & Medium Enterprises,MSME;Cluster,All,18,65,All India,1000000,Existing;Cluster,Manufacturing;Service;Common facilities,Industrial clusters,Infrastructure grant;Common facility support,Support for Common Facility Centres and infrastructure development,Documents prescribed under MSE-CDP guidelines,Online application through eligible SPV or State Govt,https://my.msme.gov.in/
6,National SC-ST Hub Scheme,Ministry of Micro Small & Medium Enterprises,MSME;SC;ST,All,18,65,All India,1200000,New;Existing,Manufacturing;Service,All India,Capital subsidy;Marketing;Mentoring;Training,Professional support including capital subsidy and reimbursement for SC/ST,Documents prescribed under NSSH guidelines,Apply through implementing agencies and lending institutions,https://www.scsthub.in/
7,Special Credit Linked Capital Subsidy Scheme (SCLCSS),Ministry of Micro Small & Medium Enterprises,MSME;SC;ST,All,18,65,All India,1500000,New;Existing,Manufacturing;Service,All India,Capital subsidy,25% subsidy on eligible new plant and machinery subject to ceilings,Loan and enterprise documents prescribed by lending institution,Submit application to concerned Prime Lending Institution,https://sclcss.msme.gov.in/
8,Raising and Accelerating MSME Performance (RAMP),Ministry of Micro Small & Medium Enterprises,MSME;Competitiveness,All,18,65,All India,1000000,Existing,Manufacturing;Service;Trading,All India,Market access;Finance;Technology;Capacity building,Support covering market access firm capabilities and digitalisation,Documents according to individual RAMP intervention,Participation through applicable RAMP interventions,https://ramp.msme.gov.in/
9,MSME Sustainable (ZED) Certification,Ministry of Micro Small & Medium Enterprises,MSME;Quality;Sustainability,All,18,65,All India,1000000,Existing,Manufacturing;Service,All India,Certification support;Financial assistance,Support for ZED certification and adoption of zero defect zero effect,MSME registration and documents required by portal,Register and apply through official ZED process,https://zed.msme.gov.in/
10,MSME Competitive (LEAN) Scheme,Ministry of Micro Small & Medium Enterprises,MSME;Productivity,All,18,65,All India,1000000,Existing,Manufacturing;Service,All India,Process improvement;Financial support,Support for adoption of Lean manufacturing practices,MSME registration and documents required by portal,Register and participate through official MSME LEAN process,https://lean.msme.gov.in/
